kdkec;nmkec;jml_sls;pemeta;pengawas;pengawas_organik
111;MAJALAYA;235;0;0;0
190;BATUJAYA;178;0;0;0
020;CIAMPEL;136;0;0;0
040;KLARI;624;0;0;0
050;CIKAMPEK;463;0;0;0
112;KARAWANG TIMUR;515;0;0;0
051;PURWASARI;259;0;0;0
070;JATISARI;293;0;0;0
072;KOTABARU;419;0;0;0
010;PANGKALAN;142;0;0;0
011;TEGALWARU;179;0;0;0
031;TELUKJAMBE TIMUR;452;0;0;0
032;TELUKJAMBE BARAT;113;0;0;0
071;BANYUSARI;257;0;0;0
100;TELAGASARI;266;0;0;0
113;KARAWANG BARAT;560;0;0;0
060;TIRTAMULYA;152;0;0;0
120;RAWAMERTA;230;0;0;0
150;RENGASDENGKLOK;291;0;0;0
081;CILAMAYA WETAN;291;0;0;0
160;PEDES;215;0;0;0
130;TEMPURAN;231;0;0;0
151;JAYAKERTA;164;0;0;0
082;CILAMAYA KULON;207;0;0;0
090;LEMAHABANG;187;0;0;0
140;KUTAWALUYA;157;0;0;0
180;TIRTAJAYA;138;0;0;0
161;CILEBAR;135;0;0;0
170;CIBUAYA;157;0;0;0
200;PAKISJAYA;100;0;0;0
