id;kode_asset;type;category;brand;model;serial_number;name;license_key;device;ip_address;location;status;assigned_to;purchase_date;warranty_expiry;expiry_date;delivery_date;created_at;updated_at
1;3100101007.01;hardware;PC Workstation;DELL;Dell Precision Rack 7910 CTO Base + Monitor Dell P;;;;;;0101010 - Ruang Server;Baik;;2015-09-01;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
2;3100102001.04;hardware;P.C Unit;DELL;DELL;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2006-11-01;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
3;3100102001.06;hardware;P.C Unit;DELL;DELL/OPTIPLEK 330;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2008-10-28;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
4;3100102001.10;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
5;3100102001.11;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101009 - Ruang Arsip;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
6;3100102001.12;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
7;3100102001.15;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
8;3100102001.16;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
9;3100102001.17;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
10;3100102001.18;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
11;3100102001.19;hardware;P.C Unit;Lenovo;Lenovo/ThinkCentre M80;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2010-12-29;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
12;3100102001.26;hardware;P.C Unit;DELL;Dell/Optiplex;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2013-03-19;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
13;3100102001.27;hardware;P.C Unit;DELL;Dell/Optiplex;;;;;;0101005 - Ruang Perpustakaan;Rusak Ringan;;2013-03-19;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
14;3100102001.28;hardware;P.C Unit;DELL;Dell/ Optilex 3010 DT;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2013-03-18;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
15;3100102001.29;hardware;P.C Unit;DELL;Dell/ Optilex 3010 DT;;;;;;0101008 - Gudang / R. Dokumen;Rusak Berat;;2013-03-18;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
16;3100102001.30;hardware;P.C Unit;DELL;Dell OptiPlex 3020 Micro + Monitor Dell E2214H;;;;;;0101009 - Ruang Arsip;Rusak Berat;;2015-09-01;;;;2025-12-31 15:10:05;2025-12-31 15:10:05
