id;kecamatan_id;kdkec;kddesa;nmdesa
3215010001;3215010;010;001;MEDALSARI
3215010011;3215010;010;011;KERTASARI
3215010012;3215010;010;012;CINTAASIH
3215010013;3215010;010;013;MULANGSARI
3215010014;3215010;010;014;JATILAKSANA
3215010015;3215010;010;015;CIPTASARI
3215010016;3215010;010;016;TAMANSARI
3215010017;3215010;010;017;TAMANMEKAR
3215011001;3215011;011;001;CIPURWASARI
3215011002;3215011;011;002;CIGUNUNGSARI
3215011003;3215011;011;003;MEKARBUANA
3215011004;3215011;011;004;WARGASETRA
3215011005;3215011;011;005;CINTALAKSANA
3215011006;3215011;011;006;CINTAWARGI
3215011007;3215011;011;007;CINTALANGGENG
3215011008;3215011;011;008;KUTAMANEUH
3215011009;3215011;011;009;KUTALANGGENG
3215020001;3215020;020;001;TEGALLEGA
3215020002;3215020;020;002;MULYASEJATI
3215020003;3215020;020;003;MULYASARI
3215020004;3215020;020;004;KUTANEGARA
3215020005;3215020;020;005;KUTAPOHACI
3215020006;3215020;020;006;KUTAMEKAR
3215020007;3215020;020;007;PARUNGMULYA
3215031001;3215031;031;001;SIRNABAYA
3215031002;3215031;031;002;PINAYUNGAN
3215031003;3215031;031;003;TELUKJAMBE
3215031004;3215031;031;004;PUSEURJAYA
3215031005;3215031;031;005;SUKALUYU
3215031006;3215031;031;006;SUKAHARJA
3215031007;3215031;031;007;WADAS
3215031008;3215031;031;008;SUKAMAKMUR
3215031009;3215031;031;009;PURWADANA
3215032001;3215032;032;001;WANAJAYA
3215032002;3215032;032;002;WANAKERTA
3215032003;3215032;032;003;WANASARI
3215032004;3215032;032;004;MARGAMULYA
3215032005;3215032;032;005;MARGAKAYA
3215032006;3215032;032;006;KARANGLIGAR
3215032007;3215032;032;007;KARANGMULYA
3215032008;3215032;032;008;MULYAJAYA
3215032009;3215032;032;009;MEKARMULYA
3215032010;3215032;032;010;PARUNGSARI
3215040001;3215040;040;001;KARANGANYAR
3215040002;3215040;040;002;CURUG
3215040003;3215040;040;003;CIMAHI
3215040004;3215040;040;004;SUMURKONDANG
3215040005;3215040;040;005;WALAHAR
3215040006;3215040;040;006;KIARAPAYUNG
3215040007;3215040;040;007;GINTUNGKERTA
3215040008;3215040;040;008;ANGGADITA
3215040011;3215040;040;011;KLARI
3215040012;3215040;040;012;CIBALONGSARI
3215040013;3215040;040;013;DUREN
3215040014;3215040;040;014;PANCAWATI
3215040016;3215040;040;016;BELENDUNG
3215050001;3215050;050;001;KALIHURIP
3215050002;3215050;050;002;KAMOJING
3215050006;3215050;050;006;CIKAMPEK TIMUR
3215050007;3215050;050;007;CIKAMPEK PUSAKA
3215050008;3215050;050;008;CIKAMPEK SELATAN
3215050009;3215050;050;009;CIKAMPEK KOTA
3215050011;3215050;050;011;CIKAMPEK BARAT
3215050012;3215050;050;012;DAWUAN TIMUR
3215050013;3215050;050;013;DAWUAN TENGAH
3215050014;3215050;050;014;DAWUAN BARAT
3215051001;3215051;051;001;MEKARJAYA
3215051002;3215051;051;002;TAMELANG
3215051003;3215051;051;003;PURWASARI
3215051004;3215051;051;004;SUKASARI
3215051005;3215051;051;005;TEGALSARI
3215051006;3215051;051;006;KARANGSARI
3215051007;3215051;051;007;DARAWOLONG
3215051008;3215051;051;008;CENGKONG
3215060002;3215060;060;002;KARANGSINOM
3215060003;3215060;060;003;KARANGJAYA
3215060004;3215060;060;004;PARAKANMULYA
3215060005;3215060;060;005;CITARIK
3215060006;3215060;060;006;TIRTASARI
3215060007;3215060;060;007;PARAKAN
3215060008;3215060;060;008;KAMURANG
3215060009;3215060;060;009;BOJONGSARI
3215060010;3215060;060;010;CIPONDOH
3215060011;3215060;060;011;KERTAWALUYA
3215070004;3215070;070;004;BARUGBUG
3215070005;3215070;070;005;SITUDAM
3215070006;3215070;070;006;BALONGGANDU
3215070009;3215070;070;009;KALIJATI
3215070010;3215070;070;010;MEKARSARI
3215070011;3215070;070;011;JATISARI
3215070012;3215070;070;012;CIREJAG
3215070013;3215070;070;013;CIKALONGSARI
3215070014;3215070;070;014;JATIRAGAS
3215070015;3215070;070;015;JATIWANGI
3215070016;3215070;070;016;JATIBARU
3215070017;3215070;070;017;TELARSARI
3215070018;3215070;070;018;SUKAMEKAR
3215070019;3215070;070;019;PACING
3215071001;3215071;071;001;PAMEKARAN
3215071002;3215071;071;002;CICINDE SELATAN
3215071003;3215071;071;003;CICINDE UTARA
3215071004;3215071;071;004;JAYAMUKTI
3215071005;3215071;071;005;GEMPOLKOLOT
3215071006;3215071;071;006;GEMPOL
3215071007;3215071;071;007;GEMBONGAN
3215071008;3215071;071;008;MEKARASIH
3215071009;3215071;071;009;BANYUASIH
3215071010;3215071;071;010;TALUNJAYA
3215071011;3215071;071;011;TANJUNG
3215071012;3215071;071;012;KUTARAHARJA
3215072001;3215072;072;001;SARIMULYA
3215072002;3215072;072;002;JOMIN BARAT
3215072003;3215072;072;003;JOMIN TIMUR
3215072004;3215072;072;004;PANGULAH SELATAN
3215072005;3215072;072;005;PANGULAH UTARA
3215072006;3215072;072;006;PANGULAH BARU
3215072007;3215072;072;007;WANCIMEKAR
3215072008;3215072;072;008;PUCUNG
3215072009;3215072;072;009;CIKAMPEK UTARA
3215081001;3215081;081;001;CIKARANG
3215081002;3215081;081;002;CIKALONG
3215081003;3215081;081;003;TEGALSARI
3215081004;3215081;081;004;TEGALWARU
3215081005;3215081;081;005;MEKARMAYA
3215081006;3215081;081;006;CILAMAYA
3215081007;3215081;081;007;SUKATANI
3215081008;3215081;081;008;SUKAKERTA
3215081009;3215081;081;009;RAWAGEMPOL KULON
3215081010;3215081;081;010;RAWAGEMPOL WETAN
3215081011;3215081;081;011;MUARABARU
3215081012;3215081;081;012;MUARA
3215082001;3215082;082;001;KIARA
3215082002;3215082;082;002;BAYUR KIDUL
3215082003;3215082;082;003;BAYUR LOR
3215082004;3215082;082;004;LANGENSARI
3215082005;3215082;082;005;SUKAMULYA
3215082006;3215082;082;006;PASIRUKEM
3215082007;3215082;082;007;SUKAJAYA
3215082008;3215082;082;008;PASIRJAYA
3215082009;3215082;082;009;MUKTIJAYA
3215082010;3215082;082;010;TEGALURUNG
3215082011;3215082;082;011;MANGGUNGJAYA
3215082012;3215082;082;012;SUMURGEDE
3215090001;3215090;090;001;CIWARINGIN
3215090002;3215090;090;002;WARINGINKARYA
3215090003;3215090;090;003;PASIRTANJUNG
3215090004;3215090;090;004;KARANGTANJUNG
3215090005;3215090;090;005;KEDAWUNG
3215090006;3215090;090;006;LEMAHABANG
3215090007;3215090;090;007;KARYAMUKTI
3215090008;3215090;090;008;PULOJAYA
3215090009;3215090;090;009;PULOKALAPA
3215090010;3215090;090;010;LEMAHMUKTI
3215090011;3215090;090;011;PULOMULYA
3215100001;3215100;100;001;PASIRTALAGA
3215100002;3215100;100;002;TALAGAMULYA
3215100003;3215100;100;003;CARIUMULYA
3215100004;3215100;100;004;CILEWO
3215100005;3215100;100;005;LINGGARSARI
3215100006;3215100;100;006;PULOSARI
3215100007;3215100;100;007;CIWULAN
3215100008;3215100;100;008;KALIJAYA
3215100009;3215100;100;009;CADASKERTAJAYA
3215100010;3215100;100;010;KALIBUAYA
3215100011;3215100;100;011;TALAGASARI
3215100012;3215100;100;012;PASIRMUKTI
3215100013;3215100;100;013;PASIRKAMUNING
3215100014;3215100;100;014;KALISARI
3215111001;3215111;111;001;PASIRJENGKOL
3215111002;3215111;111;002;MAJALAYA
3215111003;3215111;111;003;CIRANGGON
3215111004;3215111;111;004;SARIJAYA
3215111005;3215111;111;005;BENGLE
3215111006;3215111;111;006;LEMAHMULYA
3215111007;3215111;111;007;PASIRMULYA
3215112001;3215112;112;001;ADIARSA TIMUR
3215112002;3215112;112;002;WARUNGBAMBU
3215112003;3215112;112;003;KONDANGJAYA
3215112004;3215112;112;004;MARGASARI
3215112005;3215112;112;005;KARAWANG WETAN
3215112006;3215112;112;006;PALUMBONSARI
3215112007;3215112;112;007;PLAWAD
3215112008;3215112;112;008;TEGALSAWAH
3215113001;3215113;113;001;ADIARSA BARAT
3215113002;3215113;113;002;NAGASARI
3215113003;3215113;113;003;KARAWANG KULON
3215113004;3215113;113;004;TANJUNGPURA
3215113005;3215113;113;005;TANJUNGMEKAR
3215113006;3215113;113;006;KARANGPAWITAN
3215113007;3215113;113;007;MEKARJATI
3215113008;3215113;113;008;TUNGGAKJATI
3215120001;3215120;120;001;PASIRKALIKI
3215120002;3215120;120;002;KUTAWARGI
3215120003;3215120;120;003;CIBADAK
3215120004;3215120;120;004;SUKAMERTA
3215120005;3215120;120;005;PASIRAWI
3215120006;3215120;120;006;BALONGSARI
3215120007;3215120;120;007;PURWAMEKAR
3215120008;3215120;120;008;MEKARJAYA
3215120009;3215120;120;009;SEKARWANGI
3215120010;3215120;120;010;PANYINGKIRAN
3215120011;3215120;120;011;SUKAPURA
3215120012;3215120;120;012;GOMBONGSARI
3215120013;3215120;120;013;SUKARAJA
3215130001;3215130;130;001;DAYEUHLUHUR
3215130002;3215130;130;002;LEMAHKARYA
3215130003;3215130;130;003;LEMAHDUHUR
3215130004;3215130;130;004;LEMAHSUBUR
