id;kdkec;nmkec
3215010;010;PANGKALAN
3215011;011;TEGALWARU
3215020;020;CIAMPEL
3215031;031;TELUKJAMBE TIMUR
3215032;032;TELUKJAMBE BARAT
3215040;040;KLARI
3215050;050;CIKAMPEK
3215051;051;PURWASARI
3215060;060;TIRTAMULYA
3215070;070;JATISARI
3215071;071;BANYUSARI
3215072;072;KOTABARU
3215081;081;CILAMAYA WETAN
3215082;082;CILAMAYA KULON
3215090;090;LEMAHABANG
3215100;100;TELAGASARI
3215111;111;MAJALAYA
3215112;112;KARAWANG TIMUR
3215113;113;KARAWANG BARAT
3215120;120;RAWAMERTA
3215130;130;TEMPURAN
3215140;140;KUTAWALUYA
3215150;150;RENGASDENGKLOK
3215151;151;JAYAKERTA
3215160;160;PEDES
3215161;161;CILEBAR
3215170;170;CIBUAYA
3215180;180;TIRTAJAYA
3215190;190;BATUJAYA
3215200;200;PAKISJAYA
