kec;desa;Level_3;Filename;FullPath;CreatedTime;Jenis;Lokasi;Kodename;Kode
010 PANGKALAN;013 MULANGSARI;;32150100130003_WS.tfw;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130003_WS.tfw;2025-09-18 10:04:51;WS;OK;OK;32150100130003
010 PANGKALAN;013 MULANGSARI;;32150100130013_Ws.tif.aux.xml;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130013_Ws.tif.aux.xml;2025-09-18 10:04:49;WS;OK;OK;32150100130013
010 PANGKALAN;013 MULANGSARI;;32150100130005_WS.tfw;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130005_WS.tfw;2025-09-18 10:04:51;WS;OK;OK;32150100130005
010 PANGKALAN;013 MULANGSARI;;32150100130001_WS.tif.aux.xml;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130001_WS.tif.aux.xml;2025-09-18 10:04:53;WS;OK;OK;32150100130001
010 PANGKALAN;013 MULANGSARI;;32150100130010_WS.tfw;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130010_WS.tfw;2025-09-18 10:04:49;WS;OK;OK;32150100130010
010 PANGKALAN;013 MULANGSARI;;32150100130011_WS.tif.aux.xml;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130011_WS.tif.aux.xml;2025-09-18 10:04:49;WS;OK;OK;32150100130011
010 PANGKALAN;013 MULANGSARI;;32150100130007_WS.tif.aux.xml;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130007_WS.tif.aux.xml;2025-09-18 10:04:49;WS;OK;OK;32150100130007
010 PANGKALAN;013 MULANGSARI;;32150100130011_WS.tfw;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130011_WS.tfw;2025-09-18 10:04:51;WS;OK;OK;32150100130011
010 PANGKALAN;013 MULANGSARI;;32150100130010_WS.tif.aux.xml;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130010_WS.tif.aux.xml;2025-09-18 10:04:51;WS;OK;OK;32150100130010
010 PANGKALAN;013 MULANGSARI;;32150100130012_WS.tfw;G:\My Drive\2025\Wilkerstat\GEOREF\010 PANGKALAN\013 MULANGSARI\32150100130012_WS.tfw;2025-09-18 10:04:49;WS;OK;OK;32150100130012
