gpkg_file;geojson_file;idsls;similarity_percentage;status;common_count;only_in_gpkg_count;only_in_geojson_count
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010011;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010005;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010008;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010002;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010006;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010007;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010004;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010010;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010003;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010001;100.0%;sama;11;0;0
200 PAKISJAYA\desa_3215200001.gpkg;3215_SLS\desa_3215200001.geojson;32152000010009;100.0%;sama;11;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091003;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090010;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090013;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091005;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090009;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090005;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091002;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090002;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091004;99.62%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090012;96.9%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090003;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091006;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090008;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090011;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090014;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091007;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090015;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090006;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900091001;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090007;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090004;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190009.gpkg;3215_SLS\desa_3215190009.geojson;32151900090001;100.0%;sama;22;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100001;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101006;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100014;94.58%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100010;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100003;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100009;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100007;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100002;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100016;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101005;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101001;99.98%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100008;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100017;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101007;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900103004;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100011;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100004;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101003;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100012;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100013;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100006;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100015;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900101002;100.0%;sama;24;0;0
190 BATUJAYA\desa_3215190010.gpkg;3215_SLS\desa_3215190010.geojson;32151900100005;92.95%;sama;24;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060023;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060004;93.92%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060008;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060007;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060027;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060021;91.69%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060030;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060014;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060005;93.21%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060017;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060020;94.28%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060011;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060018;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060025;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060024;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060029;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060031;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060028;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060001;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060006;89.85%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060026;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060015;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060003;80.3%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060016;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060012;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060002;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060022;96.98%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060010;100.0%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060019;74.42%;sama;31;0;0
151 JAYAKERTA\desa_3215151006.gpkg;3215_SLS\desa_3215151006.geojson;32151510060013;100.0%;sama;31;0;0
