fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
1;"32";"15";"010";"001";MEDALSARI;PANGKALAN;KARAWANG;JAWA BARAT;"3215010001";"3215010";"0  ";sp2020;3215010001010B;"010B";859858.633623907;"0011";RT 011 RW 011 DUSUN 4;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
2;"32";"15";"010";"001";MEDALSARI;PANGKALAN;KARAWANG;JAWA BARAT;"3215010001";"3215010";"0  ";sp2020;3215010001007B;"007B";624466.61855871;"0007  ,  0008";"RT 007 RW 007 DUSUN 3  ,  RT 008 RW 008 DUSUN 3";"-";"1, 1, 1, 1, 1,1, 1, 1";"1";;;;;;;;;1
3;"32";"15";"010";"001";MEDALSARI;PANGKALAN;KARAWANG;JAWA BARAT;"3215010001";"3215010";"0  ";sp2020;3215010001001P;"001P";2993303.61558869;"2001";HUTAN;"-";"11";"11";;;;;;;;;1
4;"32";"15";"010";"001";MEDALSARI;PANGKALAN;KARAWANG;JAWA BARAT;"3215010001";"3215010";"0  ";sp2020;3215010001003B;"003B";1098446.89963488;"0013  ,  0003";"RT 013 RW 013 DUSUN 1  ,  RT 003 RW 003 DUSUN 1";"-";"1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1";"1";;;;;;;;;1
5;"32";"15";"011";"004";WARGASETRA;TEGALWARU;KARAWANG;JAWA BARAT;"3215011004";"3215011";"0  ";sp2020;3215011004015P;"015P";127071.749512171;"2007";HUTAN BAKAN DALEM;"-";"11";"11";;;;;;;;;1
6;"32";"15";"011";"004";WARGASETRA;TEGALWARU;KARAWANG;JAWA BARAT;"3215011004";"3215011";"0  ";sp2020;3215011004009P;"009P";89788.829611741;"1003";PERSAWAHAN WARU;"-";"11";"11";;;;;;;;;1
7;"32";"15";"020";"005";KUTAPOHACI;CIAMPEL;KARAWANG;JAWA BARAT;"3215020005";"3215020";"0  ";sp2020;3215020005006B;"006B";204300.619640532;"0010";RT 010 RW 005 DUSUN I;"-";"1, 1";"1";;;;;;;;;1
8;"32";"15";"020";"005";KUTAPOHACI;CIAMPEL;KARAWANG;JAWA BARAT;"3215020005";"3215020";"0  ";sp2020;3215020005004B;"004B";206852.171825538;"0003";RT 003 RW 002 DUSUN I;"-";"1, 1";"1";;;;;;;;;1
9;"32";"15";"020";"005";KUTAPOHACI;CIAMPEL;KARAWANG;JAWA BARAT;"3215020005";"3215020";"0  ";sp2020;3215020005007B;"007B";260059.875999931;"0005";RT 005 RW 003 DUSUN II;"-";"1, 1, 1";"1";;;;;;;;;1
10;"32";"15";"020";"005";KUTAPOHACI;CIAMPEL;KARAWANG;JAWA BARAT;"3215020005";"3215020";"0  ";sp2020;3215020005011B;"011B";131076.929573463;"0008";RT 008 RW 004 DUSUN II;"-";"1";"1";;;;;;;;;1
11;"32";"15";"031";"001";SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031001";"3215031";"0  ";sp2020;3215031001035B;"035B";10810.959082731;"0027";RT 09 RW 06 DUSUN 02;"-";"5, 1";"1";;;;;;;;;1
12;"32";"15";"031";"001";SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031001";"3215031";"0  ";sp2020;3215031001034B;"034B";21614.5029712417;"0026";RT 08 RW 06 DUSUN 02;"-";"5, 5, 1";"1";;;;;;;;;1
13;"32";"15";"031";"001";SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031001";"3215031";"0  ";sp2020;3215031001004B;"004B";491926.191325079;"0004";RT 04 RW 02 DUSUN 01;"-";"9";"9";;;;;;;;;1
14;"32";"15";"031";"001";SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031001";"3215031";"0  ";sp2020;3215031001003B;"003B";1609711.63342685;"0003";RT 03 RW 02 DUSUN 01;"-";"9";"9";;;;;;;;;1
15;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003008B;"008B";155959.844922722;"0009";RT 042 RW 007 DUSUN SUKAMULTI;"-";"9";"9";;;;;;;;;1
16;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003002B;"002B";306864.117969115;"0002";RT 008 RW 003 DUSUN SUKAMAJU;"-";"1, 1, 1";"1";;;;;;;;;1
17;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004008B;"008B";158164.87504482;"0005";RT 005 RW 002 DUSUN BABAKAN TENGAH;"-";"1, 1";"1";;;;;;;;;1
18;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004004B;"004B";254945.337260323;"0007";RT 006 RW 008 DUSUN BABAKAN TENGAH;"-";"1, 1, 1, 1";"1";;;;;;;;;1
